Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,1.72619674936504,-1.17220795270319,-3.37471864205292,-2.60275046427601,-1.70949509169847,-0.87594292287609,-0.994517948945717,-1.1739815592385,-1.28976124297341,1.68478463633775,-0.289138848080883,-0.374321979277905,-0.542125640304999,-0.554559192905497,-0.586251738490671,-0.615288463799411,-0.631969382170487,-0.655422477046795,-0.685835845567342,-0.693856288987436,-0.556590762896162,-0.125578337719131,-0.0694662703047376,-0.271712284863074,-0.305729335573084,-0.410212518071397,-0.432038450211669,-0.349674218173286,-0.219168932037313,-0.0337609726366775,0.0270096898904032,0.2326562627468,-0.165163937436499,2.30761515133256
American Samoa,ASM,2.62811088695503,2.38558568502606,2.26024521597422,2.15371701014893,2.05671216036268,1.96279569672393,1.87351717706436,1.77221674438368,1.63829370882346,1.07336821798259,0.347649330019057,0.015773561790571,-0.159602955841036,-0.268918950346124,-0.354388346392294,-0.43012341626739,-0.464054456743541,-0.509197909248079,-0.538813760911533,-0.541732698337665,-0.604780136721016,-0.742342325127959,-0.890369493241287,-1.00492136443654,-1.10585645130594,-1.20431808595042,-1.26938746413556,-1.32302357149178,-1.38257886328442,-0.896274880494128,-1.0829920166826,-1.81008765020754,-1.71290294190977,-1.60366587175019
Antigua and Barbuda,ATG,0.507699603022036,1.59169498831994,1.820176259723,1.89690804434566,1.99366754947741,2.06537047537748,2.04891111658493,1.89459540759207,1.71693315212405,1.67727282735622,1.53267318275276,1.25800968019549,1.09996203153919,1.06640091579038,1.12677248463423,1.23960018151071,1.35546842030699,1.46768441039016,1.50944003614049,1.35346888620455,1.17914352935743,1.06918387987395,0.917165517536032,0.792860528793727,0.722892009464778,0.624381829779871,0.553103046635761,0.504979187034594,0.480553889847623,0.526173366134419,0.546161676855974,0.530270318994476,0.511400156215609,0.487472101887911
Australia,AUS,1.2746217855676,1.11959770147047,0.889539825558206,0.963092494678111,1.11373422085118,1.21385498322201,1.0820399195962,0.996734717801419,1.09397580294231,1.14447285147721,1.28396809127349,1.1375387361946,1.15019273319182,1.06919812205752,1.21729073052406,1.34945083098893,1.82499679529254,2.00391140524272,2.06083316277243,1.55570626204128,1.38952731561803,1.74582000067359,1.721151439989,1.49156648912847,1.43921665259925,1.56194049810399,1.64682779735017,1.49599671041328,1.47749071058438,1.23342825131378,0.14089508329287,1.28931130985537,2.43450716351535,1.99383715356028
Austria,AUT,0.998418103144403,1.10055228652823,0.824627940995206,0.384869546678302,0.153106260702748,0.135019833748789,0.113316608322994,0.109728368100981,0.194563153264961,0.240466652446524,0.382799394483217,0.49198046425522,0.487133894826838,0.620413127334181,0.681267248299787,0.494797775098466,0.324146535285463,0.313041437661508,0.261953189906348,0.240394299500766,0.337080841831645,0.45593747231891,0.589387254692989,0.781541632525841,1.12099250236958,1.08139629872802,0.694621103604983,0.487071924768999,0.444673639004876,0.415176731565556,0.435671684056384,0.956287797076634,0.989464653969154,0.504879813795986
Azerbaijan,AZE,1.33044567943037,1.51162852010951,1.51580689251655,1.34847501163452,1.15566613988888,1.01179991660887,0.964673773704232,0.949138146647058,0.877598699856844,0.821519963674211,0.774765939386613,0.746173582716985,0.757650955616913,0.875427280482454,1.02226559239828,1.09858657441812,1.13385546615645,2.09985403259251,2.07614826384645,1.18978770786007,1.30300085487651,1.32876382733755,1.29344702700591,1.24820899735588,1.19120985807018,1.11785721013911,0.98126180450475,0.866316916370841,0.846646726414021,0.684365325388407,0.441197735816311,0.039507866238038,0.120242150339289,0.480155257252915
Burundi,BDI,2.06908349172423,2.67351109579947,-3.14824552751545,0.649848385023095,5.98577493416484,0.0690460841637087,-0.00764380652711988,1.91022480299428,2.39621572131493,2.07761630416467,2.50568660000274,2.82021948884885,3.15909277106132,3.72769286109058,3.71426552783148,3.6016417629351,3.69817167466282,4.12553206908571,5.06613607694958,4.68101057302388,3.57769854786004,3.56852147814432,3.59186709345175,3.39447686677984,2.26851729292704,1.72186004024144,2.35048627086438,3.01898182778662,3.28367531420808,2.9086530249822,2.72425539520386,2.70585008916716,2.72764441044431,2.5839340108674
Belgium,BEL,0.371593165668169,0.405713495856337,0.390638517826929,0.308197073686726,0.209436838020324,0.1953931762382,0.241991884983082,0.213527650670943,0.229189103029716,0.242517956221334,0.343951157623668,0.448268894821562,0.418641508069053,0.432788248129175,0.550055708089009,0.659558214980699,0.734330830765919,0.789976845480149,0.804599572619861,0.913639391631709,1.3010029017038,0.620163579337378,0.471340143966627,0.44392928847521,0.579446241677791,0.506300002451376,0.385228018372369,0.455184695275022,0.540461327098122,0.430996815099722,0.411601996532257,0.808165350001861,0.850263748167955,0.66555918543206
Benin,BEN,3.0846342257467,3.08954460200877,4.43675552850148,3.74003044963406,2.11424008856257,2.6166771873555,2.95210198459104,3.0829668212606,3.09369584671073,3.07665265205002,3.05435506649292,3.04010801597376,3.04920259714654,3.06173106096489,3.22061199704122,3.12066888297415,2.95509554727715,3.01959398464251,2.99903642214246,2.98424162798508,2.97782202797765,2.96766540040992,2.94885160135819,2.9550187594558,2.95391627666724,2.92460216679542,2.88117869411855,2.8136418840483,2.73538842831436,2.66259875153288,2.59230167510348,2.54740926342667,2.52274772277722,2.46175361912328
Burkina Faso,BFA,2.53625917894951,2.46694750828756,2.48654572072589,2.52154952786592,2.56393697670826,2.55894111772828,2.57799245224128,2.76403220911076,2.9303462196778,2.98414422391968,3.05099351122556,3.09039308299234,3.11812174449527,3.14512608695879,3.14680149143287,3.12034537509581,3.03277637197036,2.93816522811728,2.91916025918168,2.92577947499021,2.95657078370668,3.0171707485343,3.00083639274971,2.9733794200807,2.96196306547686,2.92508251378454,2.85291595529266,2.69713675384815,2.52989803984158,2.43522959287393,2.37649218888363,2.30907147387783,2.26973666268599,2.24597728439097
Bangladesh,BGD,1.91061096227259,1.8848730627462,1.86277225280699,1.85417955110796,1.85825551797916,1.82805195849607,1.85349089461291,1.88796139153147,1.89951780093278,1.82732806740512,1.66689324749509,1.54340635736975,1.45530530506763,1.36154790691024,1.2606651625389,1.16116775095831,1.07564253185597,0.9984405660693,0.931892491457971,0.876530534249878,0.908525895582217,0.958355912717609,0.938408350120779,0.911167733810249,0.89381937776758,0.892432416039535,0.850917315689336,0.820955197842845,0.84641125179804,0.836310836229073,0.814977993693211,1.02423384746683,1.22171475464107,1.21462115417186
Bulgaria,BGR,-0.990425980099359,-1.07385319076042,-0.797665851516421,-0.339586079485037,-0.44539850047226,-0.515729879636827,-0.608797354537911,-0.66730270106626,-0.560648224779443,-0.493896416633318,-1.99063220438276,-2.17069878030004,-0.79211363763553,-0.754796951273604,-0.752977445493645,-0.759505915531059,-0.735282283991309,-0.70192274454598,-0.644281362547054,-0.658275446635908,-0.641228920515067,-0.579220596364389,-2.01699190933907,-1.21450935947823,-1.2711551188344,-1.29824041616821,-1.32391481752631,-1.3714611289258,-1.41171852077109,-1.00293821352921,-0.664652622488209,-0.650676134087796,-0.286577641861364,-0.0803071609561488
Bahrain,BHR,-2.30791037210701,2.63004242215019,2.6307476061814,2.63203699876798,2.63111770149598,2.63339695459039,2.63544494635445,2.63458561251159,2.6346101512442,2.63695278007044,3.65488929440491,7.18117509546341,7.32007217674901,7.46118982341814,7.60408303822153,7.74778631282051,7.89230240298341,5.99407232077657,6.56869933315068,4.16585991920366,-2.76659927564461,1.1600872869288,3.59293039406627,4.78104318433597,4.15422184212278,3.82316300255316,5.29314527321994,0.131482303617889,-1.29469437720599,-0.781611308056263,2.16102845934147,1.34221960637543,3.37686417721007,0.733546811160036
"Bahamas, The",BHS,1.71953449633695,1.83396180238937,1.87510041150555,1.75900345094607,1.65630824579208,1.58198810753699,1.50236472132864,1.42560280610243,1.33738067724252,1.31201091278679,1.22793565259293,1.14581585690751,1.20019665232897,1.23306270632529,1.20292348556941,1.2946015448339,1.41342994265638,1.34543405372794,1.30111554909733,1.27841716584672,1.15016412529445,1.00108170366546,0.923627563339724,0.878822235669929,0.794122280116855,0.700545015838571,0.624247409539043,0.569969444023085,0.497339072752345,0.300555038290333,0.128749531818761,0.293483989063331,0.477303918283875,0.460334786075668
